country_code,train_km,plane_km,bus_km,train_co2_kg,plane_co2_kg,bus_co2_kg,total_co2_kg
NL,1816,0,0,74.456,0.0,0.0,74.456
US,630,14749,0,25.83,2241.848,0.0,2267.678
GB,0,0,0,0.0,0.0,0.0,0.0
GB,0,0,0,0.0,0.0,0.0,0.0
GB,0,0,0,0.0,0.0,0.0,0.0
GB,0,0,0,0.0,0.0,0.0,0.0
DE,0,2497,110,0.0,466.939,3.08,470.019
DE,0,2497,110,0.0,466.939,3.08,470.019
CN,0,20189,110,0.0,3068.728,3.08,3071.808
GB,0,0,0,0.0,0.0,0.0,0.0
DE,0,1844,110,0.0,475.752,3.08,478.832
GB,0,0,0,0.0,0.0,0.0,0.0
DE,2563,0,0,105.083,0.0,0.0,105.083
NL,0,1085,110,0.0,279.93,3.08,283.01
NL,0,1384,110,0.0,357.072,3.08,360.152
GB,0,0,0,0.0,0.0,0.0,0.0
GB,0,0,0,0.0,0.0,0.0,0.0
NL,0,1384,110,0.0,357.072,3.08,360.152
JP,0,20783,110,0.0,3159.016,3.08,3162.096
CN,0,20130,110,0.0,3059.76,3.08,3062.84
NL,1816,0,0,74.456,0.0,0.0,74.456
GB,630,0,0,25.83,0.0,0.0,25.83
GB,740,0,0,30.34,0.0,0.0,30.34
NL,1622,0,0,66.502,0.0,0.0,66.502
GB,292,0,0,11.972,0.0,0.0,11.972
GB,0,0,0,0.0,0.0,0.0,0.0
NL,0,1254,110,0.0,323.532,3.08,326.612
DE,0,2224,110,0.0,415.888,3.08,418.968
FR,2702,0,0,110.782,0.0,0.0,110.782
FR,1612,0,0,66.092,0.0,0.0,66.092
AT,0,3139,110,0.0,586.993,3.08,590.073
JP,0,20625,110,0.0,3135.0,3.08,3138.08
DK,0,1903,110,0.0,490.974,3.08,494.054
CN,0,17794,110,0.0,2704.688,3.08,2707.768
SE,0,2213,110,0.0,413.831,3.08,416.911
FR,1612,0,0,66.092,0.0,0.0,66.092
FR,2351,0,0,96.391,0.0,0.0,96.391
FR,2351,0,0,96.391,0.0,0.0,96.391
FR,2555,0,0,104.755,0.0,0.0,104.755
DE,0,1751,110,0.0,451.758,3.08,454.838
DE,0,1529,110,0.0,394.482,3.08,397.562
GB,0,0,0,0.0,0.0,0.0,0.0
GB,0,0,0,0.0,0.0,0.0,0.0
GB,796,0,0,32.636,0.0,0.0,32.636
FR,2351,0,0,96.391,0.0,0.0,96.391
FR,2351,0,0,96.391,0.0,0.0,96.391
GB,594,0,0,24.354,0.0,0.0,24.354
DE,0,2497,110,0.0,466.939,3.08,470.019
IN,0,16141,110,0.0,2453.432,3.08,2456.512
FR,2555,0,0,104.755,0.0,0.0,104.755
DK,0,1833,110,0.0,472.914,3.08,475.994
IT,0,3137,110,0.0,586.619,3.08,589.699
FR,2810,0,0,115.21,0.0,0.0,115.21
FR,2289,0,0,93.849,0.0,0.0,93.849
FR,2289,0,0,93.849,0.0,0.0,93.849
DE,0,2224,110,0.0,415.888,3.08,418.968
DE,0,1456,110,0.0,375.648,3.08,378.728
AU,630,37387,0,25.83,5682.824,0.0,5708.654
DE,1970,0,0,80.77,0.0,0.0,80.77
IL,0,8202,110,0.0,1246.704,3.08,1249.784
SE,0,3051,110,0.0,570.537,3.08,573.617
PL,0,3434,110,0.0,642.158,3.08,645.238
FR,0,1333,110,0.0,343.914,3.08,346.994
NL,0,1254,110,0.0,323.532,3.08,326.612
FR,1638,0,0,67.158,0.0,0.0,67.158
IT,0,3170,110,0.0,592.79,3.08,595.87
DE,0,1751,110,0.0,451.758,3.08,454.838
GB,630,0,0,25.83,0.0,0.0,25.83
GB,506,0,0,20.746,0.0,0.0,20.746
GB,630,0,0,25.83,0.0,0.0,25.83
FR,1612,0,0,66.092,0.0,0.0,66.092
DK,0,1903,110,0.0,490.974,3.08,494.054
DK,0,1903,110,0.0,490.974,3.08,494.054
DK,0,1903,110,0.0,490.974,3.08,494.054
AT,0,3120,110,0.0,583.44,3.08,586.52
GB,0,649,110,0.0,167.442,3.08,170.522
DE,0,1529,110,0.0,394.482,3.08,397.562
FR,1612,0,0,66.092,0.0,0.0,66.092
FR,1612,0,0,66.092,0.0,0.0,66.092
DE,0,2460,110,0.0,460.02,3.08,463.1
GB,506,0,0,20.746,0.0,0.0,20.746
IL,0,8424,110,0.0,1280.448,3.08,1283.528
DK,0,1870,110,0.0,482.46,3.08,485.54
AT,0,3139,110,0.0,586.993,3.08,590.073
US,630,17164,0,25.83,2608.928,0.0,2634.758
JP,0,20777,110,0.0,3158.104,3.08,3161.184
GB,796,0,0,32.636,0.0,0.0,32.636
FI,0,3951,110,0.0,738.837,3.08,741.917
IT,0,3212,110,0.0,600.644,3.08,603.724
JP,0,20625,110,0.0,3135.0,3.08,3138.08
BE,0,1179,110,0.0,304.182,3.08,307.262
JP,0,20777,110,0.0,3158.104,3.08,3161.184
GB,506,0,0,20.746,0.0,0.0,20.746
BE,1807,0,0,74.087,0.0,0.0,74.087
FR,1612,0,0,66.092,0.0,0.0,66.092
NL,0,1254,110,0.0,323.532,3.08,326.612
IL,0,8413,110,0.0,1278.776,3.08,1281.856
IT,0,3377,110,0.0,631.499,3.08,634.579
IT,0,3137,110,0.0,586.619,3.08,589.699
GB,378,0,0,15.498,0.0,0.0,15.498
AT,0,2741,110,0.0,512.567,3.08,515.647
DE,0,1529,110,0.0,394.482,3.08,397.562
IL,0,8202,110,0.0,1246.704,3.08,1249.784
NL,0,1287,110,0.0,332.046,3.08,335.126
GB,0,0,0,0.0,0.0,0.0,0.0
GB,0,0,0,0.0,0.0,0.0,0.0
FR,1612,0,0,66.092,0.0,0.0,66.092
JP,0,20777,110,0.0,3158.104,3.08,3161.184
FR,0,1333,110,0.0,343.914,3.08,346.994
